station_name,latitude,longitude,bikes,ebike,station_location
10th & Cambie,49.262487,-123.114397,35,3,"49.262487, -123.114397"
Yaletown-Roundhouse Station,49.274566,-123.121817,16,3,"49.274566, -123.121817"
Dunsmuir & Beatty,49.279764,-123.110154,26,1,"49.279764, -123.110154"
12th & Yukon (City Hall),49.260599,-123.113504,16,2,"49.260599, -123.113504"
8th & Ash,49.264215,-123.117772,16,1,"49.264215, -123.117772"
Spyglass & Seawall,49.270877,-123.115103,14,1,"49.270877, -123.115103"
Stamps Landing,49.26893,-123.11813,14,2,"49.268930, -123.118130"
Ontario & Seawall,49.271721,-123.104207,20,1,"49.271721, -123.104207"
Canada Place,49.287214,-123.11287,26,4,"49.287214, -123.112870"
Granville & Georgia,49.282409,-123.118541,20,4,"49.282409, -123.118541"
Pender & Burrard,49.287097,-123.118551,26,5,"49.287097, -123.118551"
Marinaside & Davie,49.273471,-123.118016,22,1,"49.273471, -123.118016"
Robson & Hornby,49.282758,-123.122092,30,2,"49.282758, -123.122092"
Hornby & Pender,49.28602,-123.116624,22,5,"49.286020, -123.116624"
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,20,0,"49.279739, -123.116251"
Beatty & Robson,49.277483,-123.114279,20,4,"49.277483, -123.114279"
Beatty & Nelson,49.275679,-123.116963,14,2,"49.275679, -123.116963"
Abbott & Cordova,49.282759,-123.106955,22,3,"49.282759, -123.106955"
Comox & Denman,49.288444,-123.139203,18,0,"49.288444, -123.139203"
Cordova & Bute,49.289124,-123.12196,14,0,"49.289124, -123.121960"
Hornby & Nelson,49.28062,-123.12482,18,1,"49.280620, -123.124820"
Helmcken & Burrard,49.279938,-123.127478,15,1,"49.279938, -123.127478"
Pacific & Richards,49.273663,-123.127075,14,2,"49.273663, -123.127075"
Chilco & Beach,49.28972,-123.144028,14,1,"49.289720, -123.144028"
Comox & Broughton,49.285253,-123.134356,12,0,"49.285253, -123.134356"
Bute & Comox,49.283343,-123.131099,22,1,"49.283343, -123.131099"
Cambie & Water,49.284605,-123.108662,32,2,"49.284605, -123.108662"
Keefer & Abbott,49.279821,-123.10802,28,2,"49.279821, -123.108020"
Expo & Carrall,49.278004,-123.105664,16,0,"49.278004, -123.105664"
Keefer & Columbia,49.279342,-123.101822,14,0,"49.279342, -123.101822"
Marinaside & Cooperage,49.273833,-123.114373,26,0,"49.273833, -123.114373"
Bidwell & Burnaby,49.28526,-123.141809,26,2,"49.285260, -123.141809"
Robson & Granville,49.281506,-123.120101,30,0,"49.281506, -123.120101"
Expo & Smithe,49.276115,-123.114496,14,0,"49.276115, -123.114496"
Cypress & Cornwall,49.272827,-123.147744,22,0,"49.272827, -123.147744"
Anderson & 2nd,49.269361,-123.13782,28,0,"49.269361, -123.137820"
7th & Granville,49.2653,-123.13811,14,2,"49.265300, -123.138110"
10th & Granville,49.262598,-123.138921,14,0,"49.262598, -123.138921"
14th & Granville,49.25894,-123.139272,14,8,"49.258940, -123.139272"
14th & Cambie,49.258763,-123.115392,14,1,"49.258763, -123.115392"
Ontario & 5th,49.266724,-123.104824,20,1,"49.266724, -123.104824"
10th & Main,49.262141,-123.101961,18,2,"49.262141, -123.101961"
Cypress & 4th,49.268269,-123.147885,18,1,"49.268269, -123.147885"
Vanier Park,49.275717,-123.142564,28,0,"49.275717, -123.142564"
Nelson & Mainland,49.276436,-123.11877,20,1,"49.276436, -123.118770"
Nelson & Richards,49.277844,-123.120942,18,0,"49.277844, -123.120942"
7th & Heather,49.265089,-123.119425,18,1,"49.265089, -123.119425"
Harwood & Bute,49.28026,-123.135244,20,0,"49.280260, -123.135244"
Chilco & Barclay,49.291909,-123.140713,18,1,"49.291909, -123.140713"
Chilco & Robson,49.293257,-123.138563,16,0,"49.293257, -123.138563"
Nicola & Robson,49.288011,-123.132006,18,0,"49.288011, -123.132006"
Carrall & Hastings,49.28117,-123.104419,18,0,"49.281170, -123.104419"
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,28,0,"49.283227, -123.120523"
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,16,6,"49.299292, -123.130281"
Stanley Park - Second Beach North,49.29534,-123.150433,16,1,"49.295340, -123.150433"
Stanley Park - Second Beach South,49.294318,-123.148808,19,0,"49.294318, -123.148808"
Stanley Park - Totem Poles,49.298657,-123.121176,20,0,"49.298657, -123.121176"
Heather & 14th,49.259183,-123.120126,18,2,"49.259183, -123.120126"
8th & Ontario,49.263837,-123.105173,16,0,"49.263837, -123.105173"
1st & Chestnut,49.270721,-123.146175,26,0,"49.270721, -123.146175"
7th & Arbutus,49.265605,-123.152566,16,0,"49.265605, -123.152566"
5th & Arbutus,49.267222,-123.153157,16,0,"49.267222, -123.153157"
10th & Oak,49.262255,-123.126217,30,22,"49.262255, -123.126217"
Arbutus & 16th,49.257654,-123.153212,40,3,"49.257654, -123.153212"
Cypress & 14th,49.25919,-123.148268,12,2,"49.259190, -123.148268"
Cypress & 16th,49.25741,-123.148531,12,0,"49.257410, -123.148531"
