,Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
0,A&W Canada,3.7,569,Main Street-Science World,49.27312,-123.10048,ChIJZ7GEH2RxhlQRVOFg4REEFN0,Google,11.062797759677574
1,A&W Canada,3.8,765,Commercial-Broadway Station,49.262566,-123.0694199,ChIJvWqz0E5xhlQRmQ0QSFzd-OI,Google,14.740643943280876
2,Tim Hortons,3.2,138,Main Street-Science World,49.2731501,-123.1005556,ChIJydBOH2RxhlQRNt7Hp4vijHE,Google,15.11367304903213
3,St Regis Bar & Grill,4.1,672,Granville,49.2831689,-123.1159323,ChIJAWJHy3hxhlQRxAZ-J4oMWJA,Google,20.001127573008404
4,The Keg Steakhouse + Bar - Dunsmuir,4.4,2288,Granville,49.2834448,-123.116359,ChIJGdCptHhxhlQR5OKcIP64od4,Google,23.59227763432836
5,Donair Dude,3.9,385,Commercial-Broadway Station,49.2627433,-123.0695059,ChIJ36BQHIlxhlQRtMmDXreD5GA,Google,23.68759195052098
6,A&W Canada,4.0,450,Joyce–Collingwood,49.2382612,-123.0314319,ChIJ4bfFaKl3hlQRMJAS9Lx7AVk,Google,26.738046279483783
7,"Mr. Shawarma Vancouver Shawarma and Cheesesteak, Burger, and Falafel",4.6,651,Burrard,49.2852956,-123.1202073,ChIJSYllMk5xhlQRAH4cXrSG67A,Google,28.600437842248
8,Easy Italian Food Cooking,5.0,5,Marine Drive Station,49.20985450000001,-123.116646,ChIJDV2sT7N1hlQRA_0uAhV7t0w,Google,34.04420728711212
9,Freshslice Pizza,4.3,442,Marine Drive Station,49.2099567,-123.1168429,ChIJ46UHRKx1hlQRPlovXNckj8g,Google,34.3776053266615
10,Kalai's curry kitchen,4.5,99,Main Street-Science World,49.27290139999999,-123.1001058,ChIJce838QVxhlQRZsng2C_BuWg,Google,34.917780279099915
11,Tim Hortons,2.9,75,Stadium-Chinatown,49.2798675,-123.1101502,ChIJQ6V7Eq9xhlQRJlMhnxVOMb8,Google,34.95199289162543
12,Milk and Sugar BBQ Bar,3.9,250,Joyce–Collingwood,49.2382266,-123.032209,ChIJj_aaXSN3hlQR1Mgyoz45QYk,Google,36.58939471993181
