Venue Name,Address,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source
Rogue Kitchen & Wetbar,"602 W Broadway, Vancouver, BC V5Z 1G2, Canada",4.1,967,Broadway-City Hall Station,49.2630556,-123.1177778,ChIJK9NJOd1zhlQRY-XZFQ3BFBQ,Google
Kamei on Broadway,"601 W Broadway Unit 12, Vancouver, BC V5Z 4C2, Canada",4.1,602,Broadway-City Hall Station,49.2640152,-123.1181325,ChIJg9uUPN1zhlQRCCYIvXrgwyo,Google
Marulilu Café,"451 W Broadway, Vancouver, BC V5Y 1R4, Canada",4.5,787,Broadway-City Hall Station,49.2633339,-123.1141116,ChIJURqm2VhxhlQRH6dgfKE3Svk,Google
Chambar Restaurant,"568 Beatty St, Vancouver, BC V6B 2L3, Canada",4.5,3529,Broadway-City Hall Station,49.2801271,-123.1099351,ChIJq2tI6HtxhlQRBaKUv59cS9E,Google
Saku Broadway,"548 W Broadway, Vancouver, BC V5Z 1E9, Canada",4.4,857,Broadway-City Hall Station,49.2630923,-123.1166759,ChIJQdEZYpBzhlQRwNpmnXQnBxU,Google
Salmon n' Bannock,"1128 W Broadway #7, Vancouver, BC V6H 1G5, Canada",4.7,835,Broadway-City Hall Station,49.263303,-123.1297697,ChIJu6VAq8ZzhlQR04WRjQzdZ_A,Google
Nightingale,"1017 W Hastings St, Vancouver, BC V6E 0C4, Canada",4.5,2490,Broadway-City Hall Station,49.2873977,-123.1174751,ChIJD9jfUoJxhlQR2Z9sjekAEFg,Google
Cactus Club Cafe Broadway + Ash,"575 W Broadway, Vancouver, BC V5Z 1E6, Canada",4.3,1879,Broadway-City Hall Station,49.26340829999999,-123.1172433,ChIJhz9CFt1zhlQRpJSOgRKv9CA,Google
Suika Japanese Restaurant,"1626 W Broadway, Vancouver, BC V6J 1X6, Canada",4.5,1939,Broadway-City Hall Station,49.2634882,-123.1417108,ChIJ_4mfbbhzhlQRMEEC_lcgKOE,Google
A.BENTO,"656 W Broadway, Vancouver, BC V5Z 1G1, Canada",4.5,333,Broadway-City Hall Station,49.2630956,-123.118823,ChIJBaBDrcRzhlQRYFHMWcLQCuE,Google
Shizenya Restaurant on Broadway,"1333 W Broadway #160, Vancouver, BC V6H 1G5, Canada",4.4,376,Broadway-City Hall Station,49.26386979999999,-123.1342545,ChIJd8nsrsZzhlQR_zEsdqKbsl0,Google
Dynasty Seafood Restaurant,"108-777 W Broadway, Vancouver, BC V5Z 4J7, Canada",4.2,1644,Broadway-City Hall Station,49.26369159999999,-123.1216168,ChIJUxfUJcNzhlQR6ohfXAT0j7o,Google
Stages Restaurant & Lounge,"711 W Broadway, Vancouver, BC V5Z 1J5, Canada",3.7,56,Broadway-City Hall Station,49.2634996,-123.1202781,ChIJofO0Kt1zhlQRYgwY1e0JeJk,Google
A&W Canada,"467 W Broadway, Vancouver, BC V5Y 1R4, Canada",3.9,725,Broadway-City Hall Station,49.2634018,-123.1144239,ChIJgw2RnN1zhlQR76HP_Ryxov8,Google
Peaceful Restaurant,"532 W Broadway #110, Vancouver, BC V5Z 1E9, Canada",4.0,787,Broadway-City Hall Station,49.26307540000001,-123.1160799,ChIJTV7Wbd1zhlQRNNf29oteTuM,Google
Chipotle Mexican Grill,"532 W Broadway Unit 100, Vancouver, BC V5Z 1E9, Canada",4.0,946,Broadway-City Hall Station,49.26307389999999,-123.1159946,ChIJYR_Rbt1zhlQRZOrzKuGXecA,Google
Kim Son Vietnamese Food,"555 W 12th Ave #030, Vancouver, BC V5Z 3X7, Canada",4.8,64,Broadway-City Hall Station,49.2607444,-123.1164572,ChIJozsB4udzhlQRNpNXP1_JpK4,Google
Yolks,"546 W Broadway, Vancouver, BC V5Z 1E9, Canada",4.1,1560,Broadway-City Hall Station,49.2630774,-123.1164679,ChIJ-z29a91zhlQRgI2lflpubNM,Google
Thai Away Home at City Square,"555 W 12th Ave #28, Vancouver, BC V5Z 3X7, Canada",4.3,137,Broadway-City Hall Station,49.2607144,-123.116348,ChIJ4Wl_KTpzhlQR-J1EEBGBrdQ,Google
Glowbal,"590 W Georgia St, Vancouver, BC V6E 1A3, Canada",4.3,3846,Broadway-City Hall Station,49.28153140000001,-123.1173984,ChIJ184e4X5xhlQREgkeHvFAYwE,Google
Pho Extreme Xe Lua,"457 W Broadway, Vancouver, BC V5Y 4A8, Canada",3.5,618,Broadway-City Hall Station,49.2633374,-123.1142824,ChIJddpmg91zhlQRn2cLhqMPhTs,Google
McDonald's,"537 W Broadway, Vancouver, BC V5Z 1E6, Canada",3.5,644,Broadway-City Hall Station,49.2635405,-123.1162715,ChIJuXRpDd1zhlQR0yATbh-djVA,Google
White Spot Dunsmuir,"405 Dunsmuir St, Vancouver, BC V6B 1X4, Canada",4.2,1611,Broadway-City Hall Station,49.2819406,-123.1135203,ChIJmYqZ03hxhlQR6ClQDmSeZZ8,Google
McDonald's,"1482 W Broadway, Vancouver, BC V6H 1H4, Canada",3.5,753,Broadway-City Hall Station,49.2633885,-123.1379777,ChIJbW0YnsdzhlQR2mtc9pcWMWw,Google
Shanghai Lu Restaurant,"705 W Broadway, Vancouver, BC V5Z 1G8, Canada",3.7,402,Broadway-City Hall Station,49.26361259999999,-123.1200751,ChIJq4LTKt1zhlQRpy4Ahtva-g4,Google
Sauzzy Thai,"800 Robson St, Vancouver, BC V6Z 2E7, Canada",3.8,26,Broadway-City Hall Station,49.2825052,-123.1212386,ChIJu4v9j39xhlQRhhc3m6qj6E0,Google
Cibo Trattoria,"900 Seymour St, Vancouver, BC V6B 0A8, Canada",3.9,210,Broadway-City Hall Station,49.2793994,-123.1204307,ChIJG3E_JH5xhlQRARNRbsTDHkw,Google
Basil Box,"810 Burrard St, Vancouver, BC V6Z 2G7, Canada",4.2,287,Broadway-City Hall Station,49.2828666,-123.1230459,ChIJV7BEw1NxhlQREpU2LlvcUS0,Google
Sushi Dragon,"614 W Broadway, Vancouver, BC V5Z 1G1, Canada",4.4,612,Broadway-City Hall Station,49.2630592,-123.118249,ChIJmQI8Ot1zhlQRIXIVIuJ4yis,Google
Tractor Everyday Healthy Foods - Ash & Broadway,"601 W Broadway #20, Vancouver, BC V5Z 4C2, Canada",4.2,283,Broadway-City Hall Station,49.2635163,-123.11773,ChIJCTNlIt1zhlQRy8IWLc3zfR4,Google
Heritage Asian Eatery,"1108 W Pender St, Vancouver, BC V6E 4J6, Canada",4.2,777,Broadway-City Hall Station,49.287526,-123.1209202,ChIJReu_54NxhlQRpncLbXrBs-w,Google
Eh! Restaurant,"1050 Alberni St #2nd, Vancouver, BC V6E 1A3, Canada",4.0,19,Broadway-City Hall Station,49.2846159,-123.1232096,ChIJnYm4UoBxhlQRPQqYCXQENhI,Google
Cilantro Indian Cuisine,"189 W Broadway, Vancouver, BC V5Y 1P4, Canada",4.7,530,Broadway-City Hall Station,49.263283,-123.1088971,ChIJdb16YOdzhlQRdTEn_JE_BVA,Google
Johnny’s on Oak Restaurant Vancouver (Best Neighbours Restaurant),"3838 Oak St, Vancouver, BC V6H 2M5, Canada",4.4,424,Broadway-City Hall Station,49.25141,-123.127289,ChIJY29n8q13hlQR_AuS1MP2CyI,Google
P2B Restaurant + Bar,"1133 W Hastings St, Vancouver, BC V6E 3T3, Canada",3.9,299,Broadway-City Hall Station,49.2884094,-123.1204975,ChIJV5_58YNxhlQRAY6qECXa8vI,Google
Falafel King Mediterranean Food,"516 Robson St, Vancouver, BC V6B 2B7, Canada",4.2,221,Broadway-City Hall Station,49.2801505,-123.1181759,ChIJD-lQW35xhlQRBTsB0kvH52c,Google
Diva at the Met,"645 Howe St, Vancouver, BC V6C 2Y9, Canada",4.1,158,Broadway-City Hall Station,49.28392299999999,-123.1183181,ChIJVTmSWX9xhlQRj3wKEpEEbOU,Google
Italian Kitchen,"860 Burrard St, Vancouver, BC V6Z 1X9, Canada",4.2,2266,Broadway-City Hall Station,49.2825272,-123.123559,ChIJxRdotIFxhlQRY7DFe7zRkho,Google
Paramount Fine Foods,"560 Robson St, Vancouver, BC V6B 2B7, Canada",4.2,2646,Broadway-City Hall Station,49.2803768,-123.1186155,ChIJ6V0dsH9xhlQRk29NnlBwvDs,Google
